### Metrics File V1.1
Metrics for HAVO3B1
Day: 07:00:00 to 18:59:59
Night: 19:00:00 to 06:59:59
Summer: May to Aug
Winter: Oct to Feb
Fall: Sep to Sep
Spring: Mar to Apr
Source of Interest: Aircraft
Truncated dBA (also referenced as dBT) Frequency Range: 20Hz to 1250Hz

Median dBA values by Hour, Winter (n = 206hrs)
Hr	Lmin	L099	L090	Lnat	L050	L010	L001	Lmax	Leq
23	40.4	36.5	33.2	30.8	29.4	28.8	28.6	28.6	28.3	27.5	26.2	24.8	23.6	22.2	22.2	22.2	21.4	19.8	18.7	17.1	14.3	12.2	10.1	07.8	06.6	06.2	06.6	06.8	07.6	08.3	08.2	08.4	07.5

L05 Contour Data, Winter (n = 206hrs)
Hr	12.5Hz	15.8Hz	20Hz	25Hz	31.5Hz	40Hz	50Hz	63Hz	80Hz	100Hz	125Hz	160Hz	200Hz	250Hz	315Hz	400Hz	500Hz	630Hz	800Hz	1000Hz	1250Hz	1600Hz	2000Hz	2500Hz	3150Hz	4000Hz	5000Hz	6300Hz	8000Hz	10000Hz	12500Hz	16000Hz	20000Hz
00	56.0	52.4	48.7	44.2	40.5	36.9	34.6	33.8	33.2	32.8	32.1	31.3	30.7	30.3	31.9	31.2	29.4	28.5	27.6	28.9	24.9	22.7	18.5	16.0	13.6	11.8	13.2	10.8	08.8	09.0	08.8	08.7	08.3
01	56.7	53.0	50.8	46.7	42.8	39.0	36.6	35.7	35.2	34.4	33.5	32.4	31.6	31.4	32.5	32.6	31.8	31.3	29.3	30.6	26.7	25.0	23.0	19.6	17.1	15.0	14.8	12.0	09.5	09.3	08.8	09.1	09.2
02	58.5	53.5	48.7	44.4	40.4	36.7	34.8	33.8	33.5	32.8	32.3	31.3	30.6	30.2	33.4	32.0	29.6	29.9	29.2	30.3	28.1	24.8	19.9	17.2	13.9	12.0	13.0	10.7	09.4	09.2	09.1	08.8	08.2
03	57.2	52.1	47.9	43.5	39.7	36.3	35.0	34.1	33.5	32.4	31.6	30.8	30.1	29.9	33.3	31.6	29.5	30.1	28.7	29.9	28.4	24.8	20.7	17.4	13.8	12.2	12.8	11.0	09.6	09.8	09.7	09.0	08.4
04	58.3	52.9	48.5	44.5	40.9	37.1	35.2	34.4	33.6	33.4	32.6	31.9	31.6	31.4	32.3	32.1	30.2	30.6	28.8	31.3	26.5	24.4	21.9	18.0	15.2	13.2	15.3	11.8	09.3	09.7	09.7	09.3	09.0
05	59.0	56.1	51.5	47.2	43.4	39.4	36.6	35.4	34.9	34.6	34.0	33.2	32.6	32.0	32.6	33.2	31.9	31.5	29.6	31.9	28.0	25.8	23.2	19.4	16.4	14.4	17.0	13.6	10.2	10.1	10.1	09.6	09.5
06	56.0	50.4	46.4	42.1	39.1	35.6	33.7	33.4	32.6	32.4	30.9	30.0	29.7	29.9	32.0	31.8	29.0	28.4	25.7	29.3	26.8	22.8	19.8	16.1	12.5	10.5	12.7	10.5	08.3	09.0	08.9	09.0	09.2
07	52.7	49.4	55.4	49.7	40.7	47.7	50.8	48.7	49.4	47.2	45.1	42.4	41.1	39.6	40.9	37.7	36.8	36.3	34.4	35.6	31.0	28.0	25.3	20.1	14.7	10.4	09.3	08.6	08.2	08.8	08.7	08.8	09.0
08	58.8	53.5	49.1	46.1	43.8	40.8	39.9	41.9	47.4	42.8	38.2	39.5	37.9	37.2	36.7	35.3	34.3	32.7	30.9	29.9	24.4	21.9	19.9	17.3	14.5	12.4	12.8	11.1	09.3	09.6	09.2	09.3	09.6
09	61.7	56.2	55.4	50.9	43.3	45.9	47.2	46.8	49.3	47.9	45.4	43.8	40.0	37.0	33.3	32.9	32.4	30.5	28.2	26.3	24.5	22.8	21.3	19.0	17.1	15.2	15.4	13.3	10.3	10.7	10.3	10.6	12.2
10	61.9	56.9	53.9	51.9	44.7	44.9	48.9	46.6	48.1	47.2	46.1	45.7	43.5	44.2	42.4	41.0	40.4	39.6	37.5	35.7	33.5	31.0	28.2	24.4	20.4	16.7	15.7	13.1	11.1	11.3	10.7	10.5	11.5
11	59.9	55.8	52.0	48.6	44.6	42.7	45.3	44.7	46.2	43.6	41.8	41.2	36.0	36.0	34.3	32.7	32.0	30.8	28.6	26.6	23.9	21.9	20.6	18.6	16.6	15.5	15.9	15.2	15.4	16.4	16.8	15.4	15.5
12	59.8	56.2	53.5	51.0	44.7	43.3	48.5	46.0	48.1	47.5	43.8	42.1	39.8	37.1	35.3	35.1	34.7	33.7	31.4	29.3	27.1	25.2	23.2	20.9	19.8	18.8	18.8	18.6	19.3	20.3	20.3	19.1	17.6
13	59.9	54.8	53.2	51.8	47.5	43.7	39.9	37.9	37.2	33.9	32.2	31.6	31.0	31.3	31.1	30.4	29.7	28.2	27.2	25.6	22.8	21.0	19.4	17.4	17.0	16.8	17.2	17.1	17.6	18.5	19.1	18.1	14.9
14	59.3	54.2	49.9	45.7	42.0	38.4	40.2	38.8	41.4	39.6	35.3	35.6	31.3	30.4	29.9	29.3	28.2	27.4	25.4	24.8	21.7	20.9	18.7	16.1	14.2	13.6	14.3	14.8	12.3	11.9	11.2	10.7	09.5
